                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2178,                 2.4907,                 2.7472,                0.35922,                  0.447,                0.29168,                0.09177,                 2.1806,                 2.8449,                 2.8144,              0.0016832,              0.0016832,              0.0016832
                     35,                 2.1124,                 2.3882,                 2.6538,                0.42853,                0.38012,                0.34942,                0.10827,                 2.2529,                 2.3896,                 2.8176,              0.0016733,              0.0016733,              0.0016733
                     36,                 2.1861,                 2.3884,                 2.6615,                0.25494,                0.08756,                0.10002,                0.03447,                 2.2976,                  3.408,                 3.4247,              0.0016634,              0.0016634,              0.0016634
                     37,                 2.1531,                 2.4091,                 2.6812,                 0.2878,                0.21416,                0.15007,                0.04156,                  2.374,                 3.1322,                  3.178,              0.0016535,              0.0016535,              0.0016535
                     38,                  2.143,                  2.375,                 2.6794,                0.44889,                0.36406,                0.32028,                0.09415,                 2.3399,                 2.6082,                 2.8974,              0.0016436,              0.0016436,              0.0016436
                     39,                 2.0699,                 2.3341,                 2.5712,                 0.4192,                0.41935,                0.34904,                0.12186,                 2.2149,                 2.3589,                 2.8172,              0.0016337,              0.0016337,              0.0016337
                     40,                 2.1405,                 2.4207,                 2.6244,                0.46545,                0.41014,                0.35344,                0.11591,                   2.17,                 2.4585,                 2.7849,              0.0016238,              0.0016238,              0.0016238
                     41,                 2.1011,                 2.4211,                 2.6881,                 0.4467,                0.42396,                0.39248,                0.14304,                 2.0318,                 2.4066,                 2.6939,              0.0016139,              0.0016139,              0.0016139
                     42,                 2.0955,                 2.4004,                 2.6073,                0.40701,                  0.447,                0.31357,                0.11518,                   2.04,                 2.4135,                 2.7142,               0.001604,               0.001604,               0.001604
                     43,                 2.0426,                 2.3295,                 2.5774,                0.38091,                0.41935,                0.32993,                0.11652,                 2.0223,                 2.5276,                 2.6876,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.9849,                 2.2922,                 2.5278,                0.40388,                0.45161,                0.32878,                 0.1065,                 2.0516,                 2.6157,                 2.7223,              0.0015842,              0.0015842,              0.0015842
                     45,                 2.0434,                 2.3126,                 2.5631,                 0.4007,                0.41935,                0.32763,                0.10939,                 1.9773,                 2.6301,                 2.6743,              0.0015743,              0.0015743,              0.0015743
                     46,                 2.0112,                 2.2811,                 2.5657,                0.29388,                0.41237,                0.24742,                0.08864,                  2.036,                 2.9206,                 2.7068,              0.0015644,              0.0015644,              0.0015644
                     47,                 2.0138,                 2.2883,                 2.5385,                0.32853,                0.45095,                0.29597,                0.10999,                 2.0416,                 2.9534,                 2.6994,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.9903,                 2.2663,                 2.5393,                0.41545,                0.43779,                0.36097,                0.13844,                 2.0631,                 2.3562,                 2.6704,              0.0015446,              0.0015446,              0.0015446
                     49,                 2.0185,                 2.2545,                 2.5608,                 0.4746,                0.40092,                0.40327,                0.15063,                 1.9533,                 2.3563,                 2.6281,              0.0015347,              0.0015347,              0.0015347
                     50,                 2.0283,                 2.2821,                 2.5025,                0.46563,                0.42857,                0.39189,                0.14534,                   1.98,                 2.3466,                 2.6515,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.9114,                  2.123,                 2.4642,                0.41472,                0.38204,                0.33085,                 0.1215,                 1.9918,                 2.5679,                  2.678,              0.0015149,              0.0015149,              0.0015149
                     52,                 2.0146,                  2.232,                 2.4828,                0.48418,                0.42396,                0.40575,                0.15334,                 2.0011,                   2.44,                 2.6226,               0.001505,               0.001505,               0.001505
                     53,                 2.0445,                 2.2606,                 2.4976,                0.53113,                0.42396,                0.44105,                0.15906,                 2.0032,                 2.3867,                 2.6348,              0.0014951,              0.0014951,              0.0014951
                     54,                 2.0205,                  2.285,                 2.4857,                0.42725,                0.42396,                0.40671,                0.14552,                 1.9887,                 2.4131,                 2.6341,              0.0014852,              0.0014852,              0.0014852
                     55,                 2.0132,                 2.2471,                  2.457,                0.40666,                0.47005,                0.38744,                0.14542,                 1.9327,                 2.3406,                 2.5756,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.9383,                 2.1813,                 2.4489,                0.40506,                0.42984,                0.36961,                0.14096,                  1.911,                  2.481,                 2.5915,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.9636,                 2.2351,                 2.4598,                0.45771,                0.43318,                0.40212,                0.15482,                 1.8577,                 2.4765,                 2.5354,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.8986,                 2.1938,                 2.4177,                0.49866,                0.44921,                0.44537,                 0.1641,                 1.8775,                 2.2603,                 2.5525,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.8968,                 2.1913,                 2.4079,                0.52019,                0.42396,                0.42607,                0.15929,                 1.9445,                 2.2402,                 2.5772,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.9033,                 2.1886,                 2.3986,                0.48375,                0.46083,                0.41472,                 0.1516,                 2.0853,                 2.1737,                 2.6484,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.9022,                 2.1674,                 2.4337,                0.51615,                0.42277,                0.41004,                0.16285,                 2.0049,                  2.251,                 2.5712,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.8661,                 2.1154,                 2.3883,                0.40851,                0.45622,                0.37279,                 0.1374,                 1.9987,                 2.4144,                 2.5996,               0.001406,               0.001406,               0.001406
                     63,                 1.9806,                 2.2028,                 2.4777,                0.54242,                0.38785,                0.40097,                0.14987,                 1.9475,                 2.4657,                 2.5601,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.9365,                 2.1439,                 2.4683,                0.45814,                0.47146,                0.44354,                0.17565,                 1.8531,                   2.23,                 2.4934,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.8395,                 2.0898,                 2.3663,                0.49534,                0.48387,                0.45141,                0.16461,                 1.8848,                 2.1676,                 2.5284,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.7965,                 2.0156,                 2.3513,                0.48282,                0.48387,                0.45448,                0.17045,                 1.8812,                 2.1259,                 2.5175,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.9099,                 2.1318,                 2.3937,                0.58138,                0.40553,                0.46042,                0.18047,                 1.8977,                 2.1338,                 2.5067,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.8589,                 2.0643,                 2.3448,                0.48779,                  0.447,                0.44718,                0.17678,                  1.907,                 2.2044,                  2.506,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.8668,                  2.114,                 2.3439,                0.46117,                0.39631,                0.43124,                0.17036,                 1.8654,                 2.3014,                 2.4759,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.8522,                 2.0322,                 2.3081,                0.51951,                0.45161,                0.47987,                0.17055,                 1.9001,                 2.2837,                 2.4874,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.8799,                 2.0829,                 2.3317,                0.54035,                0.45622,                0.47117,                0.17236,                 1.9223,                 2.2138,                 2.5059,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.8851,                 2.0171,                 2.3367,                0.47974,                0.43779,                0.41606,                 0.1598,                 1.8905,                  2.203,                 2.5201,               0.001307,               0.001307,               0.001307
                     73,                 1.7706,                 2.0315,                 2.2569,                 0.4778,                0.41475,                0.42922,                0.17206,                 1.8758,                 2.1066,                 2.5017,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.8499,                  2.124,                 2.3389,                0.41258,                0.48552,                0.42903,                0.17427,                 1.8996,                  2.085,                 2.5688,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.9183,                 2.0924,                 2.3969,                0.44226,                0.42387,                0.42291,                0.16926,                 1.8998,                 2.0958,                 2.5578,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.8373,                 2.0127,                 2.3524,                0.50286,                0.46544,                0.47045,                 0.1907,                  1.823,                 2.0893,                 2.4569,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.8928,                 2.1532,                 2.4229,                  0.556,                0.45012,                0.48909,                0.20583,                 1.7626,                  2.046,                 2.4009,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.7929,                 2.0071,                 2.3149,                0.52318,                  0.447,                 0.4835,                0.20831,                   1.75,                 2.1096,                 2.4102,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.7768,                  2.047,                 2.2995,                0.60702,                0.48848,                0.51339,                0.21136,                 1.7393,                 2.1954,                 2.4258,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.8281,                 1.9926,                 2.3213,                 0.6191,                0.46083,                0.53723,                0.22478,                 1.6827,                 2.0099,                  2.354,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.7901,                 1.9823,                 2.2679,                0.63139,                0.49309,                0.54307,                0.23483,                 1.6578,                  1.918,                 2.2942,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.8336,                 1.9935,                 2.3334,                0.58234,                0.49309,                0.52786,                0.22523,                 1.6739,                 1.9663,                 2.3099,               0.001208,               0.001208,               0.001208
                     83,                 1.7607,                  2.002,                  2.254,                0.56781,                0.47926,                0.51225,                0.22038,                 1.6973,                 2.0113,                 2.3447,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.7792,                 1.9085,                 2.2542,                0.51985,                0.47926,                0.49333,                 0.2172,                 1.7382,                 2.0041,                 2.3772,              0.0011882,              0.0011882,              0.0011882
                     85,                  1.826,                 2.0604,                 2.3355,                0.55495,                0.43779,                0.48034,                0.20482,                 1.7255,                 2.0136,                 2.3786,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.8095,                 1.9812,                 2.3174,                0.54643,                 0.4424,                0.48072,                 0.1911,                  1.763,                 2.0301,                  2.414,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.8368,                  1.985,                 2.2932,                0.57867,                0.45622,                0.48006,                0.19709,                 1.7711,                 2.0219,                 2.3967,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.7782,                 2.0509,                 2.2596,                0.53922,                0.46544,                0.48455,                0.19871,                 1.7433,                 2.0457,                 2.3597,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.7805,                 1.9618,                 2.2973,                0.65549,                 0.4424,                0.49425,                0.20439,                 1.7638,                  2.106,                 2.3681,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.8056,                  1.974,                 2.2583,                 0.6375,                0.41014,                0.49152,                0.20582,                 1.7995,                 2.1107,                 2.3825,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.7393,                 1.9456,                 2.2519,                0.63075,                0.40092,                0.49595,                0.21484,                 1.7359,                 2.0351,                  2.327,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.7922,                 1.9063,                  2.231,                0.66627,                0.41475,                0.50595,                0.21729,                 1.7341,                 2.0097,                 2.2953,               0.001109,               0.001109,               0.001109
                     93,                 1.7897,                 1.9865,                 2.2546,                 0.6511,                0.42857,                0.52192,                0.21824,                 1.7455,                 2.0034,                 2.2995,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.7357,                 1.9155,                 2.2261,                0.58322,                0.51589,                0.56426,                0.24427,                 1.7419,                 1.9703,                 2.3169,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.7991,                 1.9171,                 2.2746,                0.56853,                0.48848,                0.54751,                0.24369,                 1.7409,                 1.9705,                 2.3426,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.8419,                 2.0537,                 2.3947,                0.52294,                0.47483,                0.52724,                0.23178,                 1.7622,                 2.0272,                 2.3719,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.8037,                 2.0642,                 2.2495,                0.60549,                0.45161,                 0.5262,                0.23762,                 1.7323,                 2.0063,                 2.3335,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.7585,                 1.9402,                 2.2155,                0.62366,                0.45161,                0.53595,                0.24922,                 1.7065,                 1.9362,                 2.3078,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.7667,                 1.8832,                  2.225,                0.62298,                0.47926,                0.55897,                0.25407,                 1.7037,                 1.8759,                  2.297,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.7201,                 1.8572,                 2.2062,                 0.6309,                0.48387,                0.56054,                0.25869,                 1.7119,                 1.8544,                 2.2818,              0.0010298,              0.0010298,              0.0010298
                    101,                  1.731,                 1.8732,                 2.2156,                 0.6062,                0.48387,                0.54691,                0.25095,                  1.732,                 1.8933,                 2.2866,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.7139,                 1.8525,                 2.1978,                 0.6618,                0.43318,                0.53639,                0.24354,                 1.7296,                 1.8969,                 2.2959,                0.00101,                0.00101,                0.00101
                    103,                 1.7913,                 1.9292,                 2.2843,                0.57269,                0.49409,                 0.5654,                0.25743,                 1.6393,                 1.8776,                 2.2751,              0.0010001,              0.0010001,              0.0010001
                    104,                  1.717,                 1.9881,                 2.2388,                0.59113,                0.48387,                0.54432,                0.25196,                 1.6866,                 1.9754,                 2.3279,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.7716,                 1.9737,                 2.2355,                0.56068,                  0.553,                 0.5418,                0.24694,                 1.6935,                 1.9635,                 2.3228,              0.0009803,              0.0009803,              0.0009803
                    106,                 1.7733,                  1.876,                 2.2238,                0.68011,                  0.447,                0.55977,                0.25193,                 1.6795,                 1.9154,                 2.2884,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.7542,                 1.8948,                  2.263,                0.63643,                0.47465,                0.55543,                 0.2517,                 1.6637,                 1.9088,                 2.2671,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.6979,                 1.8778,                 2.1836,                0.64757,                0.52535,                0.57843,                0.27009,                 1.6428,                 1.8435,                  2.256,              0.0009506,              0.0009506,              0.0009506
                    109,                 1.6676,                 1.7918,                  2.159,                0.55614,                0.56221,                0.57689,                0.25405,                 1.6912,                  1.878,                 2.2971,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.7222,                 1.9533,                 2.2114,                0.58048,                0.50691,                0.57641,                0.24892,                 1.7087,                 1.8643,                  2.315,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.7096,                 1.9587,                 2.1883,                0.55108,                0.52535,                0.54924,                 0.2477,                 1.6641,                 1.9098,                  2.296,              0.0009209,              0.0009209,              0.0009209
                    112,                  1.639,                 1.7848,                 2.1566,                0.52331,                0.47465,                 0.5282,                 0.2461,                 1.6427,                 1.9102,                 2.2463,               0.000911,               0.000911,               0.000911
                    113,                 1.7447,                 1.8645,                 2.2004,                0.52395,                0.51152,                0.52791,                0.26247,                 1.6375,                 1.8526,                  2.231,              0.0009011,              0.0009011,              0.0009011
                    114,                 1.7187,                  1.795,                 2.2018,                0.66474,                0.48387,                0.56632,                0.26171,                 1.5838,                 1.8421,                 2.2168,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.7734,                 1.9065,                 2.2602,                0.65289,                0.48387,                0.56451,                0.24928,                 1.6614,                 1.8423,                 2.3153,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.7384,                 1.8911,                 2.2274,                0.65189,                0.48387,                0.57844,                0.26193,                 1.6082,                 1.8248,                 2.2647,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.6394,                 1.8449,                 2.1739,                0.59223,                0.52874,                0.57345,                 0.2675,                 1.5975,                 1.8103,                  2.242,              0.0008615,              0.0008615,              0.0008615
                    118,                  1.757,                  1.913,                 2.2443,                0.60486,                0.51496,                0.55727,                0.25464,                  1.638,                 1.8069,                 2.2908,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.7294,                 1.8842,                 2.1922,                0.62978,                0.51738,                0.56332,                0.25179,                 1.6757,                 1.7793,                 2.3093,              0.0008417,              0.0008417,              0.0008417
                    120,                 1.6993,                 1.8174,                 2.1557,                0.64264,                0.52995,                0.59423,                0.27185,                 1.6354,                 1.7339,                 2.2349,              0.0008318,              0.0008318,              0.0008318
                    121,                 1.6942,                 1.7196,                 2.1525,                0.67631,                0.51613,                0.59762,                0.26488,                 1.6718,                 1.7513,                 2.2705,              0.0008219,              0.0008219,              0.0008219
                    122,                 1.6574,                 1.7892,                 2.1434,                0.63563,                0.50646,                 0.5773,                0.26104,                 1.7038,                 1.7405,                 2.3033,               0.000812,               0.000812,               0.000812
                    123,                 1.6889,                 1.7908,                 2.1226,                0.60006,                 0.4977,                0.56995,                0.26303,                 1.6967,                 1.7892,                 2.2969,              0.0008021,              0.0008021,              0.0008021
                    124,                 1.6881,                 1.7958,                 2.1754,                0.66155,                0.48848,                0.57222,                0.25826,                 1.7109,                 1.8453,                 2.3125,              0.0007922,              0.0007922,              0.0007922
                    125,                 1.7648,                 1.8876,                 2.2095,                 0.7153,                0.47471,                0.58509,                0.27142,                 1.6931,                 1.8252,                  2.317,              0.0007823,              0.0007823,              0.0007823
                    126,                  1.705,                 1.7989,                 2.1615,                0.68823,                 0.5023,                0.60412,                 0.2887,                  1.657,                 1.7723,                 2.2927,              0.0007724,              0.0007724,              0.0007724
                    127,                   1.71,                 1.7992,                 2.1716,                0.79053,                0.50691,                0.63127,                0.29908,                 1.6631,                 1.7295,                 2.2839,              0.0007625,              0.0007625,              0.0007625
                    128,                 1.6921,                 1.7929,                 2.1739,                0.73938,                0.54911,                0.66126,                0.31016,                 1.6017,                  1.683,                 2.2345,              0.0007526,              0.0007526,              0.0007526
