                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9334,                 1.9836,                 2.5429,                0.59253,                0.66839,                0.64282,                0.27145,                 1.8611,                 2.7815,                 2.6768,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.8893,                 1.9654,                 2.5069,                0.57457,                0.78261,                 0.6581,                0.33062,                 1.6591,                   2.79,                 2.5205,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.8162,                 1.8437,                 2.4674,                0.66326,                 0.7205,                0.70844,                0.35328,                 1.5517,                 1.8787,                 2.3366,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.8952,                  1.862,                  2.483,                0.56907,                0.78882,                0.68971,                0.36159,                 1.4661,                 2.9654,                 2.2543,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.7554,                 1.8609,                 2.3916,                0.61558,                0.70807,                0.68435,                0.37945,                 1.5143,                 1.8617,                 2.2143,              0.0016436,              0.0016436,              0.0016436
                     39,                   1.78,                 1.8511,                 2.4364,                0.65899,                0.71429,                 0.7008,                0.36904,                 1.5635,                 1.5406,                 2.2638,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.7759,                 1.8049,                 2.4135,                0.50546,                0.60248,                0.54957,                0.26853,                 1.6096,                 1.9439,                 2.3982,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.7477,                 1.8578,                 2.4112,                0.59025,                0.29528,                0.35702,                 0.2052,                 1.8111,                 2.4409,                 2.8639,              0.0016139,              0.0016139,              0.0016139
                     42,                  1.745,                 1.7512,                 2.3826,                0.58299,                 0.7294,                0.65383,                0.34759,                 1.5713,                 1.6977,                 2.2984,               0.001604,               0.001604,               0.001604
                     43,                  1.646,                 1.6873,                 2.3043,                0.60915,                0.81988,                0.67614,                0.33747,                 1.5963,                  1.837,                 2.3051,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.7538,                 1.7432,                 2.3413,                0.50299,                 0.7229,                0.63384,                0.36417,                 1.4139,                 1.7876,                 2.1358,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.7336,                 1.7461,                 2.2908,                0.58878,                0.74534,                 0.6855,                0.31764,                 1.4948,                 3.1239,                 2.2083,              0.0015743,              0.0015743,              0.0015743
                     46,                  1.668,                 1.6801,                 2.2903,                0.63369,                0.74534,                0.70836,                 0.3781,                 1.5006,                 4.0138,                 2.2549,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.6672,                 1.7206,                 2.2945,                0.56047,                0.71429,                0.64137,                0.35881,                 1.3798,                 2.0768,                 2.0957,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.6763,                 1.7217,                 2.2502,                0.64014,                0.74028,                0.73077,                0.37396,                 1.5198,                 1.4923,                 2.2089,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.6829,                 1.7605,                 2.3148,                0.68586,                0.82723,                0.77477,                0.45981,                 1.3244,                 1.9339,                 2.0451,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.6431,                 1.7058,                 2.2067,                0.63198,                0.65839,                0.71429,                 0.4204,                 1.3466,                 1.4018,                 2.0585,              0.0015248,              0.0015248,              0.0015248
                     51,                  1.578,                 1.6241,                  2.158,                0.72846,                0.73317,                 0.7611,                0.47919,                 1.3402,                 1.4421,                 2.1067,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.6188,                 1.6234,                 2.2175,                 0.7719,                0.85093,                0.79829,                0.45483,                 1.4796,                 1.5598,                 2.1659,               0.001505,               0.001505,               0.001505
                     53,                 1.6229,                 1.6393,                  2.219,                0.64277,                 0.7205,                0.72011,                0.38569,                 1.5208,                 1.6332,                 2.2392,              0.0014951,              0.0014951,              0.0014951
