                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9334,                 1.9325,                  2.599,                0.50412,                0.34913,                0.28096,                0.12872,                 1.7559,                 2.1318,                 2.5531,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.9416,                 1.9388,                 2.5516,                0.65947,                  0.399,                0.39713,                0.17452,                 1.7085,                 2.1521,                 2.4685,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.9086,                 1.8847,                 2.4856,                0.44893,                0.34913,                0.27598,                0.10514,                 1.8784,                 2.7406,                 2.6002,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.8316,                 1.8433,                 2.4403,                0.42848,                0.40399,                0.32345,                0.13953,                 1.6614,                 2.0484,                 2.3573,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.9126,                  1.853,                 2.5029,                0.59787,                0.41397,                 0.3827,                0.18305,                 1.6215,                 1.8392,                 2.3229,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.8767,                 1.8822,                 2.4621,                 0.6619,                 0.4015,                 0.4014,                0.21156,                 1.5928,                   1.75,                 2.2907,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.9199,                 1.8894,                 2.4779,                0.57855,                0.42394,                0.37853,                0.15756,                 1.7556,                 1.9384,                 2.3867,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.8812,                 1.8708,                 2.4028,                0.50047,                0.41397,                0.33292,                0.14833,                 1.7005,                 1.9797,                 2.2798,              0.0016139,              0.0016139,              0.0016139
                     42,                  1.801,                 1.8514,                 2.3686,                0.58109,                0.40648,                0.37603,                0.17521,                 1.6137,                 2.0467,                 2.2058,               0.001604,               0.001604,               0.001604
                     43,                 1.8822,                 1.7689,                 2.3929,                0.62984,                0.41646,                0.39933,                0.20211,                 1.5981,                  2.011,                 2.1994,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.7884,                  1.699,                 2.3511,                0.71127,                0.43616,                0.45192,                0.23344,                 1.6256,                 1.6458,                 2.2358,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.7784,                 1.7411,                 2.3356,                0.57093,                0.42893,                0.38868,                0.18001,                 1.6951,                 1.9565,                  2.294,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.7824,                 1.6722,                  2.317,                0.61138,                0.41585,                0.41334,                0.18927,                 1.7059,                 1.8039,                 2.2817,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.8082,                 1.7204,                 2.2484,                0.69882,                0.42643,                0.44038,                0.23005,                 1.6638,                 1.6264,                 2.2087,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.8949,                 1.7665,                 2.3482,                0.64938,                0.39651,                0.42424,                0.19232,                 1.7677,                 1.9197,                 2.3226,              0.0015446,              0.0015446,              0.0015446
                     49,                  1.915,                 1.8376,                 2.3619,                0.64941,                  0.399,                0.42928,                0.19794,                 1.7831,                 1.9236,                 2.3677,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.8537,                 1.7156,                 2.2762,                0.77334,                 0.4389,                0.48389,                0.26338,                 1.5505,                 1.6753,                 2.1326,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.8192,                 1.6368,                 2.2696,                0.69905,                 0.4414,                 0.4631,                0.25844,                 1.5869,                 1.7938,                 2.1394,              0.0015149,              0.0015149,              0.0015149
