                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1757,                 2.2738,                 2.8528,                 0.6538,                0.51356,                0.61963,                0.22661,                 2.0099,                 1.9529,                 2.6825,              0.0015644,              0.0015644,              0.0015644
                     36,                 2.2395,                 2.3411,                 2.7762,                0.60479,                0.57895,                0.59915,                0.19445,                 2.1602,                 2.0868,                 2.6926,              0.0015512,              0.0015512,              0.0015512
                     37,                 2.0811,                 2.2229,                 2.7711,                0.55212,                0.54068,                0.57702,                0.19021,                 2.1909,                 2.0755,                 2.7758,               0.001538,               0.001538,               0.001538
                     38,                 2.0784,                 2.2665,                 2.6928,                0.49611,                0.57018,                0.51851,                0.18808,                 2.0793,                  2.476,                 2.7362,              0.0015248,              0.0015248,              0.0015248
                     39,                 2.1401,                 2.2037,                  2.781,                0.46158,                0.58772,                 0.4965,                0.19639,                 2.0447,                 2.1195,                 2.6215,              0.0015116,              0.0015116,              0.0015116
                     40,                 2.0616,                 2.1761,                 2.7146,                0.58446,                0.51819,                0.53599,                0.19508,                 1.9923,                 2.2732,                 2.6231,              0.0014984,              0.0014984,              0.0014984
                     41,                 2.0021,                 2.0919,                 2.6155,                0.57556,                0.55263,                0.54089,                0.18294,                 2.0504,                 2.4815,                 2.7224,              0.0014852,              0.0014852,              0.0014852
                     42,                 2.0789,                  2.178,                 2.6982,                0.54884,                0.65789,                0.57299,                0.21441,                 1.9832,                 2.9246,                 2.7449,               0.001472,               0.001472,               0.001472
                     43,                 2.0976,                 2.1249,                 2.7355,                0.60132,                0.71447,                0.72765,                0.31952,                 1.8276,                 1.8967,                 2.4955,              0.0014588,              0.0014588,              0.0014588
                     44,                 2.0218,                 2.1041,                 2.6458,                0.58449,                0.72807,                0.70143,                0.32443,                 1.7913,                 1.8164,                 2.4425,              0.0014456,              0.0014456,              0.0014456
                     45,                 2.0385,                 2.0243,                 2.5935,                0.62775,                0.61404,                0.64348,                0.29361,                 1.8049,                 1.9006,                 2.4575,              0.0014324,              0.0014324,              0.0014324
                     46,                  2.052,                 2.1415,                 2.6806,                 0.6761,                0.71053,                0.77194,                0.33697,                  1.735,                 1.9697,                 2.3683,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.9123,                 2.0551,                 2.5195,                0.71076,                0.68421,                0.71994,                0.25098,                 2.0151,                 2.5961,                 2.5148,               0.001406,               0.001406,               0.001406
                     48,                 1.9522,                 2.1454,                 2.6174,                0.75362,                0.71053,                0.77586,                0.30605,                  1.774,                 2.4556,                 2.4173,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.9391,                  2.062,                  2.589,                0.74345,                0.86428,                0.84056,                0.35392,                  1.759,                 1.9987,                 2.4022,              0.0013796,              0.0013796,              0.0013796
                     50,                  1.916,                 2.0559,                 2.5522,                0.70195,                0.64044,                0.76298,                0.34846,                 1.8609,                 1.6756,                 2.4766,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.9231,                 2.0806,                 2.5785,                0.65097,                0.58772,                0.69102,                 0.2869,                 2.0166,                 1.8602,                 2.6015,              0.0013532,              0.0013532,              0.0013532
