                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1926,                 3.3385,                 3.8044,                0.00267,                0.64865,                0.01205,                0.00395,                 3.2451,                  4.008,                 4.0719,             0.00094202,             0.00094202,             0.00094202
                     35,                 2.9543,                 3.0687,                 3.6696,                0.00267,                0.64865,                0.01139,                0.00359,                 3.2785,                 3.9989,                 4.1082,             0.00095772,             0.00095772,             0.00095772
                     36,                 3.1454,                 3.1422,                 3.7033,                0.00244,                0.59459,                0.00893,                0.00315,                 3.2692,                 4.0053,                 4.0751,              0.0009727,              0.0009727,              0.0009727
                     37,                 3.0767,                 3.2045,                 3.7408,                0.00244,                0.59459,                0.00893,                0.00315,                 3.2692,                 4.0053,                 4.0751,             0.00098696,             0.00098696,             0.00098696
                     38,                 3.0389,                 3.2457,                 3.6679,                0.00267,                0.64865,                0.00895,                0.00289,                 3.2685,                 3.9899,                 4.0329,              0.0010005,              0.0010005,              0.0010005
                     39,                 3.0696,                 3.3153,                 3.6914,                0.00256,                0.62162,                0.03303,                0.00622,                 3.2675,                  3.963,                 3.9452,              0.0010133,              0.0010133,              0.0010133
                     40,                 3.1481,                 3.1674,                 3.5922,                0.00256,                0.62162,                0.03303,                0.00622,                 3.2675,                  3.963,                 3.9452,              0.0010254,              0.0010254,              0.0010254
                     41,                 2.9365,                 3.2314,                 3.6868,                0.00267,                0.64865,                0.02606,                0.00848,                 3.2033,                 3.8029,                 3.8151,              0.0010368,              0.0010368,              0.0010368
                     42,                 3.0452,                 3.1627,                 3.5373,                 0.0528,                0.18919,                0.03698,                0.01004,                 3.1625,                 3.7404,                 3.8124,              0.0010475,              0.0010475,              0.0010475
                     43,                 3.0005,                 3.1035,                 3.5882,                 0.0528,                0.18919,                0.03698,                0.01004,                 3.1625,                 3.7404,                 3.8124,              0.0010574,              0.0010574,              0.0010574
                     44,                 2.7824,                 3.1787,                 3.5352,                0.09335,                0.16216,                0.03704,                0.00919,                 3.2115,                 4.1775,                 3.9503,              0.0010666,              0.0010666,              0.0010666
                     45,                 2.9655,                 3.0489,                 3.5173,                0.09335,                0.16216,                0.03704,                0.00919,                 3.2115,                 4.1775,                 3.9503,              0.0010751,              0.0010751,              0.0010751
                     46,                 2.8802,                 3.0528,                  3.578,                0.08369,                0.16216,                 0.0554,                0.01365,                  3.219,                 6.3407,                 4.0342,              0.0010829,              0.0010829,              0.0010829
                     47,                 2.8876,                  3.172,                 3.5787,                0.08369,                0.16216,                 0.0554,                0.01365,                  3.219,                 6.3407,                 4.0342,                0.00109,                0.00109,                0.00109
                     48,                 2.8223,                 3.1532,                 3.5945,                0.08494,                0.13514,                0.04368,                0.01174,                 3.3113,                 10.595,                 4.0671,              0.0010963,              0.0010963,              0.0010963
                     49,                 2.6678,                 3.0916,                 3.5183,                0.08494,                0.13514,                0.04368,                0.01174,                 3.3113,                 10.595,                 4.0671,              0.0011019,              0.0011019,              0.0011019
                     50,                 3.0287,                 3.1376,                 3.5446,                0.07445,                0.16216,                0.03839,                0.01021,                 3.3066,                 6.4336,                 3.7575,              0.0011068,              0.0011068,              0.0011068
                     51,                  3.117,                 3.0706,                 3.5032,                0.07445,                0.16216,                0.03839,                0.01021,                 3.3066,                 6.4336,                 3.7575,                 0.0011,                 0.0011,                 0.0011
                     52,                 2.9295,                 3.0568,                 3.4494,                0.03248,                0.32432,                0.03048,                0.00629,                 3.1461,                 5.7011,                 3.6873,                 0.0011,                 0.0011,                 0.0011
                     53,                 3.0897,                 3.0876,                 3.4649,                0.03248,                0.32432,                0.03048,                0.00629,                 3.1461,                 5.7011,                 3.6873,               0.001082,               0.001082,               0.001082
                     54,                 2.8708,                 3.1116,                 3.4564,                 0.0745,                0.10811,                0.03342,                0.01117,                 2.9941,                  4.736,                 3.6646,               0.001064,               0.001064,               0.001064
                     55,                 2.8483,                 3.0565,                 3.3487,                 0.0745,                0.10811,                0.03342,                0.01117,                 2.9941,                  4.736,                 3.6646,               0.001046,               0.001046,               0.001046
                     56,                 3.0238,                 3.0613,                 3.4343,                0.15259,                0.13514,                0.07967,                0.02718,                 2.9705,                 4.3259,                 3.5856,               0.001028,               0.001028,               0.001028
                     57,                  2.892,                 2.9528,                 3.4255,                0.15259,                0.13514,                0.07967,                0.02718,                 2.9705,                 4.3259,                 3.5856,                0.00101,                0.00101,                0.00101
                     58,                 2.9982,                 3.0492,                 3.4797,                 0.0454,                0.08108,                0.05649,                0.01958,                 2.8697,                 3.6869,                 3.5004,               0.000992,               0.000992,               0.000992
                     59,                 2.8658,                 3.3612,                 3.4841,                 0.0454,                0.08108,                0.05649,                0.01958,                 2.8697,                 3.6869,                 3.5004,               0.000974,               0.000974,               0.000974
                     60,                 2.8253,                 2.9571,                 3.4232,                 0.0923,                0.16216,                0.08149,                0.02557,                 2.8356,                 3.5192,                 3.4051,               0.000956,               0.000956,               0.000956
                     61,                 2.9191,                 3.1158,                 3.3916,                 0.0923,                0.16216,                0.08149,                0.02557,                 2.8356,                 3.5192,                 3.4051,               0.000938,               0.000938,               0.000938
                     62,                 2.8844,                  3.185,                 3.4134,                0.11684,                0.27027,                 0.0946,                0.03147,                 2.8179,                 3.5522,                 3.3732,                0.00092,                0.00092,                0.00092
                     63,                 2.9288,                 2.9688,                 3.4257,                0.11684,                0.27027,                 0.0946,                0.03147,                 2.8179,                 3.5522,                 3.3732,               0.000902,               0.000902,               0.000902
                     64,                 2.9242,                 2.9919,                 3.3358,                0.16202,                0.18919,                0.08925,                0.02108,                 2.7963,                 3.6908,                 3.3544,               0.000884,               0.000884,               0.000884
                     65,                 2.8976,                 3.0125,                 3.3475,                0.16202,                0.18919,                0.08925,                0.02108,                 2.7963,                 3.6908,                 3.3544,               0.000866,               0.000866,               0.000866
                     66,                 2.9858,                 3.0238,                 3.4335,                0.06272,                0.18919,                0.04062,                0.01153,                  2.681,                 4.1182,                 3.3409,               0.000848,               0.000848,               0.000848
                     67,                 2.9193,                  3.105,                 3.4206,                0.06272,                0.18919,                0.04062,                0.01153,                  2.681,                 4.1182,                 3.3409,                0.00083,                0.00083,                0.00083
                     68,                 2.7308,                 2.9541,                 3.3502,                 0.0725,                0.13514,                0.04374,                0.01168,                 2.6414,                 4.1966,                 3.3155,               0.000812,               0.000812,               0.000812
                     69,                 2.6566,                 3.1052,                 3.3889,                 0.0725,                0.13514,                0.04374,                0.01168,                 2.6414,                 4.1966,                 3.3155,               0.000794,               0.000794,               0.000794
                     70,                 2.7753,                 3.0755,                 3.3703,                0.13975,                0.21622,                0.07716,                0.02489,                 2.6536,                 3.8177,                  3.313,               0.000776,               0.000776,               0.000776
                     71,                 2.9047,                 2.9699,                  3.358,                0.13975,                0.21622,                0.07716,                0.02489,                 2.6536,                 3.8177,                  3.313,               0.000758,               0.000758,               0.000758
                     72,                 2.8663,                 3.0667,                 3.3017,                0.15058,                0.16216,                0.08577,                0.02655,                 2.6595,                 3.6455,                 3.2869,                0.00074,                0.00074,                0.00074
